acq_date,lat,lon,frp
2026-04-17,40.50505,-123.77207,1.09
2026-04-17,33.36736,-117.3933,6.76
2026-04-17,33.36878,-117.38479,5.23
2026-04-17,33.61121,-117.27693,22.71
2026-04-17,34.33467,-118.51958,2.68
2026-04-17,34.70119,-117.94166,4.35
2026-04-17,34.81525,-118.44842,12.6
2026-04-17,35.68895,-120.55701,3.06
2026-04-17,35.74262,-120.65372,4.38
2026-04-17,37.35507,-119.73708,7.05
2026-04-17,38.34382,-122.96653,6.19
2026-04-17,38.45338,-122.42503,9.19
2026-04-17,38.78209,-119.94028,5.56
2026-04-17,38.89033,-122.95165,3.57
2026-04-17,39.18027,-121.14644,1.42
2026-04-17,39.34511,-122.1926,7.93
2026-04-17,39.38925,-121.65175,8.8
2026-04-17,39.39024,-121.64649,5.15
2026-04-17,39.89014,-122.08289,4.08
2026-04-17,39.89096,-122.0798,7.17
2026-04-17,39.89117,-122.0775,4.08
2026-04-17,39.89372,-122.08405,3.3
2026-04-17,39.89454,-122.08094,7.17
2026-04-17,39.89474,-122.07866,3.3
2026-04-17,40.04223,-123.42687,2.66
2026-04-17,40.55952,-122.46722,1.94
2026-04-17,41.53267,-122.5161,3.57
2026-04-18,33.49148,-117.61784,0.85
2026-04-18,33.4916,-117.61714,0.58
2026-04-18,33.61136,-117.82291,0.57
2026-04-18,33.61244,-117.82523,0.74
2026-04-18,33.71682,-117.7114,0.91
2026-04-18,33.71747,-117.71182,1.12
2026-04-18,33.79203,-117.47705,0.62
2026-04-18,33.7931,-117.47556,1.31
2026-04-18,33.81996,-118.24564,1.46
2026-04-18,33.85159,-118.33327,1.19
2026-04-18,34.03415,-118.10699,0.28
2026-04-18,34.14379,-117.42802,0.19
2026-04-18,34.15297,-118.19576,0.74
2026-04-18,34.31115,-119.26708,0.26
2026-04-18,34.33395,-118.52151,1.13
2026-04-18,34.42948,-118.64339,0.66
2026-04-18,34.60637,-117.33951,1.47
2026-04-18,34.62294,-117.10216,1.2
2026-04-18,36.35648,-114.91039,0.78
2026-04-18,36.3814,-114.87519,0.5
2026-04-18,32.59793,-117.01205,0.69
2026-04-18,32.85691,-117.03078,0.57
2026-04-18,32.85952,-117.14671,0.34
2026-04-18,34.33554,-118.51781,0.47
2026-04-18,34.33685,-118.5201,0.85
2026-04-18,34.60606,-117.33444,2.35
2026-04-18,34.60963,-117.33642,1.66
2026-04-18,37.94152,-122.39033,0.8
2026-04-18,37.94952,-122.39984,0.79
2026-04-18,38.01435,-122.11292,0.8
2026-04-18,38.01479,-122.11266,0.86
2026-04-18,38.02804,-122.0589,0.42
2026-04-18,34.31334,-119.2682,0.34
2026-04-18,33.37036,-117.40402,12.48
2026-04-18,33.37125,-117.39971,12.48
2026-04-18,33.37212,-117.39548,7.41
2026-04-18,33.38115,-117.39322,8.31
2026-04-18,34.60141,-117.08855,5.64
2026-04-18,35.38062,-119.04189,3.01
2026-04-18,38.50554,-120.64525,3.16
2026-04-18,38.63774,-122.69491,13.25
2026-04-18,38.75922,-122.02591,4.23
2026-04-18,39.9649,-122.1824,2.48
2026-04-18,39.96565,-122.18046,2.97
2026-04-18,39.38507,-122.23512,6.65
2026-04-18,39.3871,-122.23772,5.51
2026-04-19,36.35474,-114.91034,0.89
2026-04-19,36.71949,-120.49,1.24
2026-04-19,35.35732,-118.97765,3.14
2026-04-19,36.60171,-120.66585,11.29
2026-04-19,36.60733,-120.66596,3.89
2026-04-19,36.60812,-120.65182,3.17
2026-04-19,36.61375,-120.65174,3.17
2026-04-19,37.28116,-120.45339,4.7
2026-04-19,37.2824,-120.45536,3.46
2026-04-19,37.28263,-120.45054,3.46
2026-04-19,39.26404,-121.48501,3.72
2026-04-20,36.35513,-114.91489,1.7
2026-04-20,40.82221,-114.25863,0.75
2026-04-20,36.35625,-114.91276,1.33
2026-04-20,36.35922,-114.91184,1.65
2026-04-20,37.82647,-122.29826,0.85
2026-04-20,37.88425,-121.18581,0.72
2026-04-20,37.94223,-122.396,0.88
2026-04-20,37.94556,-122.39508,0.66
2026-04-20,37.94968,-122.39863,0.81
2026-04-20,38.01596,-122.11209,1.01
2026-04-20,38.31576,-121.83363,0.41
2026-04-20,38.45042,-121.46291,0.67
2026-04-20,38.66058,-121.90585,0.76
2026-04-20,39.31887,-121.71643,0.48
2026-04-20,33.61394,-117.82213,0.67
2026-04-20,33.61425,-117.82367,0.54
2026-04-20,33.71736,-117.71101,0.54
2026-04-20,33.79383,-117.47734,1.31
2026-04-20,33.82067,-118.24378,1.27
2026-04-20,34.03534,-118.1041,0.22
2026-04-20,34.1525,-118.19389,1.43
2026-04-20,34.24253,-118.38246,0.38
2026-04-20,34.32292,-118.52798,0.49
2026-04-20,34.32539,-118.52402,0.35
2026-04-20,34.33403,-118.51897,0.8
2026-04-20,34.43028,-118.64352,1.02
2026-04-20,34.60817,-117.33432,1.26
2026-04-20,34.60929,-117.33683,2.18
2026-04-20,34.61985,-117.09911,0.8
2026-04-20,35.64477,-119.99966,1.05
2026-04-20,35.64587,-120.00515,1.05
2026-04-20,36.08649,-118.34028,1.63
2026-04-20,33.16025,-115.85162,14.61
2026-04-20,33.27647,-115.50866,8.76
2026-04-20,33.27547,-115.51381,3.78
2026-04-20,33.27574,-115.50957,3.78
2026-04-20,35.37297,-118.89345,5.56
2026-04-20,35.64513,-119.99987,2.47
2026-04-20,36.97727,-120.64474,9.46
2026-04-20,38.86759,-119.9601,23.37
2026-04-21,39.61975,-119.26499,0.6
2026-04-21,40.94173,-117.86079,0.57
2026-04-21,33.61456,-117.82001,1.17
2026-04-21,33.71426,-117.70943,0.69
2026-04-21,33.71774,-117.70857,0.69
2026-04-21,33.79475,-117.4723,0.88
2026-04-21,33.82177,-118.24368,1.76
2026-04-21,33.8519,-118.33321,0.82
2026-04-21,33.85529,-118.33233,1.04
2026-04-21,33.87652,-116.99692,0.31
2026-04-21,33.90674,-118.40425,1.48
2026-04-21,33.93165,-117.83994,1.54
2026-04-21,33.95594,-117.12276,0.42
2026-04-21,34.03682,-118.10487,0.56
2026-04-21,34.14355,-117.42691,0.68
2026-04-21,34.15504,-118.19392,1.51
2026-04-21,34.24406,-118.37992,0.41
2026-04-21,34.29281,-118.80132,0.7
2026-04-21,34.33507,-118.51732,1.11
2026-04-21,34.35412,-116.85133,0.95
2026-04-21,34.43147,-118.64388,1.72
2026-04-21,34.56706,-118.15311,0.59
2026-04-21,34.60872,-117.33635,1.59
2026-04-21,34.62342,-117.10091,1.58
2026-04-21,36.35614,-114.91119,0.61
2026-04-21,36.35984,-114.90998,0.61
2026-04-21,36.66436,-120.13274,0.66
2026-04-21,32.59807,-117.01019,0.85
2026-04-21,32.85788,-117.14504,0.2
2026-04-21,32.85796,-117.02634,0.73
2026-04-21,33.49302,-117.61697,0.63
2026-04-21,41.88035,-114.20182,4.12
2026-04-21,41.88196,-114.20016,5.32
2026-04-21,41.88595,-114.20456,2.2
2026-04-21,32.58743,-116.33089,4.67
2026-04-21,35.4232,-119.2704,3.04
2026-04-21,35.64635,-120.00131,3.82
2026-04-21,36.48446,-119.73515,3.33
2026-04-12,34.60816,-117.33788,1.6
2026-04-12,34.62234,-117.10176,1.0
2026-04-12,36.35589,-114.91079,0.89
2026-04-12,36.38337,-114.87579,0.71
2026-04-12,32.71477,-114.76019,0.98
2026-04-12,32.85626,-117.14915,0.74
2026-04-12,33.29622,-115.98454,2.61
2026-04-12,33.49205,-117.6149,0.95
2026-04-12,33.71426,-117.71172,1.2
2026-04-12,33.79295,-117.47352,1.6
2026-04-12,33.85279,-118.33456,1.27
2026-04-12,33.87677,-116.99928,0.78
2026-04-13,32.85629,-117.1465,0.22
2026-04-13,33.61221,-117.82323,0.31
2026-04-13,34.29024,-118.802,1.19
2026-04-13,34.29254,-118.80347,0.72
